Model,Distribution,Omega,Alpha,Beta,Log_Likelihood,AIC,Train_Time,MSE,MAE,HMSE,Gamma,Phi,Nu
GARCH,normal,0.4097393351226983,0.09265042282921848,0.8811724485908035,-3813.5869093909496,7633.173818781899,0.8902595043182373,13.77965057165853,2.7478540469128636,0.41628944972153564,,,
GARCH,t,8.988580839993734e-07,0.04408964536513284,0.9559103544371604,-3616.9110958296997,7241.822191659399,0.044574737548828125,6.315838018199752,1.9790865113670937,0.18358572144439322,,,3.38699786356921
GARCH,laplace,0.17263424063501137,0.06062596731698899,0.9228874489026606,-3616.2244551150234,7238.448910230047,0.015689611434936523,6.845059453154676,1.9400588867457018,0.17547870432155285,,,
GARCH,ged,0.250228120936773,0.0605767266579735,0.9110815216409225,-3686.033004521849,7378.066009043698,0.0,9.109568207159219,2.1628343745971463,0.20763831061213472,,,
EGARCH,normal,0.12706067103579557,0.16725122201363044,0.9548142368441517,-3805.394698136564,7618.789396273128,0.29764866828918457,12.401062112156326,2.7190460798404095,0.4776868093910015,-0.049625705318898546,,
EGARCH,t,0.02259624367051738,0.1272946732495901,0.9896090161963782,-3605.475829500352,7220.951659000704,0.06297636032104492,5.564425291439826,2.110216907134266,0.23871309006161145,0.00757963941564452,,3.500286643362246
EGARCH,laplace,0.06522832517814493,0.11760276259746945,0.9860927053468673,-3609.3262729058924,7226.652545811785,0.3015272617340088,9.152662468261866,2.3334033457015146,0.300020321159009,0.00547782424733533,,
EGARCH,ged,0.08561951958266627,0.11997099472587908,0.9761812917688094,-3678.158025025517,7364.316050051034,0.01927495002746582,10.542728020624944,2.403159343919698,0.3292248525691673,-0.010222503224175297,,
GJR-GARCH,normal,0.5484514568013736,0.06572324297260576,0.8603863115684832,-3807.5070657706447,7623.014131541289,0.23792791366577148,14.633751819982452,2.8247243935449275,0.525894534190657,0.08132059762095016,,
GJR-GARCH,t,7.644391408214847e-06,0.04403731469664697,0.9615254883673316,-3614.947487636169,7239.894975272338,0.044600486755371094,5.224131301610442,1.7337488189770114,0.14722433037040852,-0.011125606859991328,,3.3526401590871977
GJR-GARCH,laplace,0.1414517204165673,0.06440585550941996,0.9299804621711194,-3615.868588964993,7239.737177929986,0.016718387603759766,8.331000926709972,2.0969555243105145,0.23533559847019125,-0.0164035082800775,,
GJR-GARCH,ged,0.26867393379268767,0.05838823042228919,0.9071716468411468,-3685.9125436107543,7379.8250872215085,0.01011514663696289,10.344810678764855,2.3173631925520093,0.2740056164787046,0.008961776997051566,,
CVX-GARCH,normal,0.19518666268071122,0.04794322901685207,0.8914949399727541,-3810.1580283182084,7628.316056636417,0.2410275936126709,17.783888791164497,3.080111744313869,0.3884550728430996,,0.044098910975536185,
CVX-GARCH,t,1.0000000000000002e-12,0.1052793036795147,0.0112919918144306,-3591.9429574293413,7193.885914858683,0.036695241928100586,19.69178576945213,3.5122205248294476,0.6721116083458721,,0.9999999736438681,3.1726454718028307
CVX-GARCH,laplace,0.0865563946959511,0.053765374662369816,0.7983853196232357,-3605.8608804480255,7219.721760896051,0.0077266693115234375,15.624752211085985,2.947117359623944,0.32231499412194087,,0.13327486366113953,
CVX-GARCH,ged,0.17712560010938833,0.05098034005962932,0.8462519083043867,-3675.6760122530077,7359.352024506015,0.013707637786865234,16.204167714631318,2.923868792580712,0.2806046332340486,,0.07317247575920345,
RT-GARCH,normal,1e-12,0.09377286803956641,0.8227531272139279,-3596.2905038762137,7200.5810077524275,0.23898077011108398,14.485557367947914,2.718169688359693,0.13470131349016085,,0.4480746873668757,
RT-GARCH,t,1.0000000000000192e-12,0.0,0.0,-3191.179024239086,6392.358048478172,0.07176542282104492,54.621306561182884,6.052556561255067,0.687024757178062,,0.9999999997636464,38.80464326450772
RT-GARCH,laplace,0.07104406643815409,0.06985643066760422,0.9082508974082902,-3598.583930463953,7205.167860927906,0.0,11.205492872494053,2.2933129150594764,0.11015347396739397,,0.06837788646188277,
RT-GARCH,ged,1e-12,0.01446486097507134,0.7150821666572125,-3415.1803493540524,6838.360698708105,0.004511356353759766,11.911453517381721,2.487418610369093,0.13951461213969213,,0.8546152595368748,
